experiment_run[gemini-2.5-flash-reference] = 120
experiment_run[gemma-4-26b-a4b] = 122
experiment_run[qwen3-30b-a3b-2507] = 121
attempts complete: 360
attempts failed: 0
  phase_run_id=6134 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6134 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6147 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6147 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6147 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6199 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6199 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6199 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6334 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6334 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6334 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6335 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6335 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6335 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6338 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6338 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6338 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6339 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6339 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6339 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6340 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6340 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6340 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6354 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6354 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6354 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6364 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6364 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6364 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6370 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6370 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6370 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6382 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6382 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6382 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6386 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6386 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6386 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6409 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6409 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6409 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6426 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6426 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6426 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6427 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6427 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6427 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6435 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6435 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6435 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6437 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6437 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6437 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6441 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6441 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6441 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6447 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6447 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6447 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6448 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6448 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6448 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6449 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6449 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6449 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=6455 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=6455 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=6455 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=5198 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=5198 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=5198 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=5223 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=5223 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=5223 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=5241 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=5241 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=5241 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=5246 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=5246 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=5246 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=5372 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=5372 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=5372 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=5384 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=5384 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=5384 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=5393 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=5393 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=5393 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=5404 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=5404 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=5404 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=5556 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=5556 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=5556 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=5559 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=5559 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=5559 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=5782 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=5782 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=5782 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=5786 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=5786 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=5786 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=5839 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=5839 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=5839 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=5919 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=5919 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=5919 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=5922 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=5922 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=5922 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=5964 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=5964 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=5964 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6019 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=6019 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=6019 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6134 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=6134 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=6134 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6147 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=6147 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=6147 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6199 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=6199 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=6199 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6334 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=6334 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=6334 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6335 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=6335 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=6335 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6338 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=6338 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=6338 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6339 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=6339 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=6339 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6340 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=6340 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=6340 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6354 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=6354 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=6354 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6364 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=6364 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=6364 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6370 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=6370 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=6370 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6382 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=6382 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=6382 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6386 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=6386 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=6386 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6409 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=6409 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=6409 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6426 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=6426 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=6426 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6427 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=6427 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=6427 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6435 variant='gemma-4-26b-a4b' repeat=1 status=complete
  phase_run_id=6435 variant='gemma-4-26b-a4b' repeat=2 status=complete
  phase_run_id=6435 variant='gemma-4-26b-a4b' repeat=3 status=complete
  phase_run_id=6437 variant='gemma-4-26b-a4b' repeat=1 status=complete
